Country/Territory,Code,VoiceAccount,PolStability,GovEffect,RegQual,RuleLaw,ContCorr,Region
Andorra,ADO,1.08906769752502,1.61851167678833,1.82559430599213,1.33970880508423,1.69863760471344,1.31437397003174,WE/EU
Afghanistan,AFG,-1.08345854282379,-2.72980761528015,-1.52311480045319,-1.37858736515045,-1.80769681930542,-1.4754045009613,AP
Angola,AGO,-0.810628235340118,-0.520678997039795,-1.18179678916931,-0.90850168466568,-0.963171541690826,-0.927093148231506,SSA
Albania,ALB,0.087339922785759,0.0839363187551498,-0.135743156075478,0.23713107407093,-0.3582943379879,-0.540196061134339,ECA
United Arab Emirates,ARE,-1.18430542945862,0.626468300819397,1.32550311088562,1.0834037065506,0.91694188117981,1.11439597606659,MENA
Argentina,ARG,0.594153821468353,0.0364367589354515,-0.216941729187965,-0.56730854511261,-0.469371497631073,-0.116381615400314,AME
Armenia,ARM,0.0446616150438786,-0.571294367313385,-0.124236114323139,0.250047862529755,-0.0832231342792511,0.031596977263689,ECA
Antigua and Barbuda,ATG,0.74485582113266,0.933893322944641,-0.149707019329071,0.512565910816193,0.452020168304443,0.275280684232712,AME
Australia,AUS,1.3041205406189,0.848752200603485,1.6191633939743,1.8169037103653,1.65118837356567,1.6651645898819,AP
Austria,AUT,1.39897871017456,0.851911008358002,1.65505743026733,1.40135538578033,1.81044065952301,1.50967419147491,WE/EU
Azerbaijan,AZE,-1.54574131965637,-0.725215375423431,-0.170232459902763,-0.314771711826324,-0.691043376922607,-1.04819715023041,ECA
Burundi,BDI,-1.53802967071533,-1.41131484508514,-1.25929617881775,-1.01885032653809,-1.31648182868958,-1.52695047855377,SSA
Belgium,BEL,1.28318226337433,0.590562582015991,1.12429869174957,1.35071790218353,1.36891961097717,1.47805202007294,WE/EU
Benin,BEN,-0.0771749317646027,-0.439753204584122,-0.263881206512451,-0.372204512357712,-0.727878749370575,-0.0392983667552471,SSA
Burkina Faso,BFA,-0.171151831746101,-1.55159831047058,-0.669525265693665,-0.417266130447388,-0.41812527179718,-0.101169601082802,SSA
Bangladesh,BGD,-0.769144117832184,-0.917398512363434,-0.787878274917603,-0.901913821697235,-0.573180198669434,-0.978274166584015,AP
Bulgaria,BGR,0.26007342338562,0.47248101234436,-0.0722199082374573,0.518923163414002,-0.0870779305696487,-0.272322207689285,WE/EU
Bahrain,BHR,-1.45749509334564,-0.591191291809082,0.428747117519379,0.62582939863205,0.491358041763306,-0.0655485838651657,MENA
Bosnia and Herzegovina,BIH,-0.323983997106552,-0.51457279920578,-0.975191354751587,-0.232490330934525,-0.306057184934616,-0.603876233100891,ECA
Belarus,BLR,-1.45882403850555,-0.730354905128479,-0.729318201541901,-0.649549007415772,-0.995916664600373,-0.168237566947937,ECA
Belize,BLZ,0.528140842914581,0.511743247509003,-0.646433532238007,-0.537827730178833,-0.75969922542572,-0.191985696554184,AME
Bolivia,BOL,-0.0706576630473137,-0.46767458319664,-0.562045514583588,-1.02399682998657,-1.15160584449768,-0.75636625289917,AME
Brazil,BRA,0.261050522327423,-0.42169788479805,-0.44703134894371,-0.161653488874435,-0.17581370472908,-0.34242382645607,AME
Barbados,BRB,1.1317549943924,1.1291960477829,0.489311546087265,0.480196803808212,0.337748825550079,1.2259202003479,AME
Brunei Darussalam,BRN,-0.932221353054047,1.12370550632477,1.43842673301697,0.914199769496918,0.931134462356567,1.28121972084045,AP
Bhutan,BTN,0.151985466480255,1.02157759666443,0.37318629026413,-0.310517400503159,0.594143807888031,1.64843916893005,AP
South Sudan,SSD,-1.82984614372253,-2.16830682754517,-2.34441041946411,-2.18099093437195,-1.92502951622009,-1.90517592430115,SSA
Botswana,BWA,0.494441330432892,1.08804726600647,0.256799161434174,0.415990859270096,0.440531641244888,0.629012525081635,SSA
Central African Republic,CAF,-1.27312839031219,-2.17848896980286,-1.68974936008453,-1.53703272342682,-1.71181237697601,-1.28198027610779,SSA
Canada,CAN,1.47617506980896,1.10924577713013,1.64432299137115,1.59580492973328,1.65511918067932,1.59770679473877,AME
Switzerland,CHE,1.54133343696594,1.19196879863739,2.02009773254395,1.5903160572052,1.82816779613495,2.078857421875,WE/EU
Chile,CHL,1.01606690883636,0.0706187039613724,0.988735675811768,1.05209279060364,1.06776666641235,1.14656090736389,AME
China,CHN,-1.64846646785736,-0.291067957878113,0.647959232330322,-0.0808021053671837,-0.0595887191593647,-0.0658865496516228,AP
Côte d'Ivoire,CIV,-0.483163416385651,-0.976412832736969,-0.480649769306183,-0.275844633579254,-0.599476754665375,-0.526562809944153,SSA
Cameroon,CMR,-1.21458554267883,-1.52716410160065,-0.883125901222229,-0.817107260227203,-1.14644575119019,-1.13126909732819,SSA
"Congo, Rep.",COG,-1.29034519195557,-0.895873248577118,-1.43484091758728,-1.43104410171509,-1.16037929058075,-1.40342712402344,SSA
Colombia,COL,0.149250283837318,-0.673599481582642,0.0402886085212231,0.317109405994415,-0.491235613822937,-0.181955009698868,AME
Comoros,COM,-0.763881921768189,-0.291794300079346,-1.59347712993622,-1.17848074436188,-1.19923186302185,-1.19348967075348,SSA
Cape Verde,CPV,0.917582035064697,0.880794167518616,0.247196480631828,-0.0660532414913178,0.487906724214554,0.827957212924957,SSA
Costa Rica,CRI,1.14300680160522,0.761543869972229,0.3622125685215,0.44986566901207,0.569912374019623,0.776122808456421,AME
Cuba,CUB,-1.41953146457672,0.596220910549164,-0.167765766382217,-1.50445413589478,-0.278077781200409,-0.126734554767609,AME
Cyprus,CYP,0.907089829444885,0.29182842373848,0.883210122585297,1.00247502326965,0.580853998661041,0.37789249420166,WE/EU
Czech Republic,CZE,0.981219351291657,0.924458563327789,0.957014977931976,1.24120914936066,1.05988121032715,0.58504718542099,WE/EU
Germany,DEU,1.37757623195648,0.671011388301849,1.36079776287079,1.58271455764771,1.55793190002441,1.85825085639954,WE/EU
Djibouti,DJI,-1.42049431800842,-0.318376481533051,-0.676725387573242,-0.811457395553589,-1.01185119152069,-0.741347908973694,SSA
Dominica,DMA,0.878063023090363,1.3462461233139,-0.179586440324783,0.195998072624207,0.740505814552307,0.556285679340363,AME
Denmark,DNK,1.52036130428314,0.943032622337341,1.89086866378784,1.79088401794434,1.85885155200958,2.27046227455139,WE/EU
Dominican Republic,DOM,0.221525937318802,0.167433440685272,-0.330742239952087,-0.0137687614187598,-0.264179348945618,-0.680822849273682,AME
Algeria,DZA,-1.10213851928711,-0.860165297985077,-0.525843739509583,-1.29149353504181,-0.780317664146423,-0.641845524311066,MENA
Ecuador,ECU,0.0167155135422945,-0.364633113145828,-0.438847452402115,-0.886009097099304,-0.5481316447258,-0.535989344120026,AME
"Egypt, Arab Rep.",EGY,-1.48873126506805,-1.20736086368561,-0.545122027397156,-0.688596069812775,-0.359800815582275,-0.813671410083771,MENA
Eritrea,ERI,-2.07687473297119,-0.984424829483032,-1.6167848110199,-2.33510565757751,-1.47161984443665,-1.3264319896698,SSA
Spain,ESP,1.00793170928955,0.395267635583878,0.894953727722168,0.76769632101059,0.901961207389832,0.74115252494812,WE/EU
Estonia,EST,1.17127180099487,0.71012020111084,1.34333574771881,1.53538775444031,1.3822455406189,1.61277997493744,WE/EU
Ethiopia,ETH,-1.01729679107666,-1.73845732212067,-0.552068293094635,-0.957410931587219,-0.397793233394623,-0.362394541501999,SSA
Finland,FIN,1.61521244049072,0.944625198841095,1.94893479347229,1.85475182533264,2.07888293266296,2.20416808128357,WE/EU
France,FRA,1.06943023204803,0.312509804964066,1.24780833721161,1.19596564769745,1.32741141319275,1.15310907363892,WE/EU
Gabon,GAB,-0.993986248970032,-0.0771415680646896,-0.909902334213257,-0.878432214260101,-0.66546243429184,-0.924422800540924,SSA
United Kingdom,GBR,1.24678122997284,0.474357098340988,1.37663197517395,1.48105454444885,1.49693548679352,1.69227397441864,WE/EU
Georgia,GEO,0.055401798337698,-0.430793106555939,0.787500977516174,1.10876667499542,0.285965740680695,0.595919728279114,ECA
Ghana,GHA,0.58316969871521,0.12586584687233,-0.152652382850647,0.000173859589267522,-0.0386940874159336,-0.115510672330856,SSA
Guinea,GIN,-0.92233806848526,-0.637065231800079,-0.894325077533722,-0.833626627922058,-1.26365888118744,-0.967804551124573,SSA
"Gambia, The",GMB,-0.200992703437805,0.245340794324875,-0.672010838985443,-0.687578141689301,-0.365932554006576,-0.342827171087265,SSA
Guinea-Bissau,GNB,-0.471064269542694,-0.598215043544769,-1.4316873550415,-1.26334881782532,-1.36482119560242,-1.31910073757172,SSA
Equatorial Guinea,GNQ,-1.8318202495575,-0.192240476608276,-1.47135388851166,-1.54940748214722,-1.25386929512024,-1.68506801128387,SSA
Greece,GRC,0.965920031070709,0.125100761651993,0.444480121135712,0.550014436244965,0.320269882678986,0.0598670579493046,WE/EU
Grenada,GRD,0.692262470722199,1.03453350067139,-0.0654130578041077,-0.170227244496346,0.292635232210159,0.357117265462875,AME
Guatemala,GTM,-0.387276887893677,-0.429132699966431,-0.687436699867249,-0.174790367484093,-1.05323660373688,-1.09594714641571,AME
Guyana,GUY,0.214866742491722,-0.145953580737114,-0.438169896602631,-0.550658047199249,-0.425236970186234,-0.149735704064369,AME
"Hong Kong SAR, China",HKG,0.0384611152112484,0.0922063365578651,1.66240346431732,1.78797209262848,1.59024298191071,1.64982688426971,AP
Honduras,HND,-0.603003978729248,-0.544604122638702,-0.595982313156128,-0.495544523000717,-0.958380460739136,-0.857768535614014,AME
Croatia,HRV,0.580176174640656,0.60740476846695,0.437717825174332,0.4339399933815,0.294179975986481,0.200741231441498,WE/EU
Haiti,HTI,-0.842745363712311,-1.04332935810089,-2.03381943702698,-1.21475887298584,-1.03624641895294,-1.3198744058609,AME
Hungary,HUN,0.389862447977066,0.863838016986847,0.580902457237244,0.481681734323502,0.512883841991425,0.0974263325333595,WE/EU
Indonesia,IDN,0.0996763631701469,-0.500208854675293,0.369162410497665,0.0776585638523102,-0.338744401931763,-0.397423923015594,AP
India,IND,0.149890676140785,-0.861981809139252,0.386543750762939,-0.137774527072907,-0.0177096351981163,-0.244830772280693,AP
Ireland,IRL,1.39423000812531,0.975187361240387,1.48021924495697,1.47379529476166,1.4988853931427,1.56689774990082,WE/EU
"Iran, Islamic Rep.",IRN,-1.48066329956055,-1.66785287857056,-0.989374279975891,-1.45891058444977,-0.867118179798126,-1.08544719219208,MENA
Iraq,IRQ,-1.00996339321136,-2.52834343910217,-1.32672035694122,-1.37689304351807,-1.75368368625641,-1.28377521038055,MENA
Iceland,ISL,1.38630390167236,1.39417707920074,1.5237762928009,1.44803726673126,1.79911005496979,1.69982421398163,WE/EU
Israel,ISR,0.655231714248657,-0.828207433223724,1.09613680839539,1.24164044857025,0.997390449047089,0.565775454044342,MENA
Italy,ITA,1.05702412128448,0.440066516399384,0.400363147258759,0.503024876117706,0.240993440151215,0.538915395736694,WE/EU
Jamaica,JAM,0.626547396183014,0.27078115940094,0.414420515298843,0.089366614818573,-0.237380683422089,-0.00747567741200328,AME
Jordan,JOR,-0.750569581985474,-0.322140663862228,0.114770151674747,0.225530728697777,0.212475925683975,0.0704441890120506,MENA
Japan,JPN,0.987698793411255,1.03887581825256,1.59616565704346,1.35381889343262,1.52513659000397,1.49587023258209,AP
Kazakhstan,KAZ,-1.18816006183624,-0.260071605443955,0.155508264899254,0.139551937580109,-0.39614275097847,-0.391468107700348,ECA
Kenya,KEN,-0.33995509147644,-1.00364112854004,-0.354368835687637,-0.441963344812393,-0.557726562023163,-0.855377495288849,SSA
Kyrgyz Republic,KGZ,-0.594164192676544,-0.427713483572006,-0.540157735347748,-0.404624879360199,-0.92657482624054,-1.11090230941772,ECA
Cambodia,KHM,-1.35849857330322,-0.235882624983788,-0.41940712928772,-0.616408407688141,-0.945800125598908,-1.23124647140503,AP
"Korea, Rep.",KOR,0.815812349319458,0.559196949005127,1.41586887836456,1.03329741954803,1.18316340446472,0.728066623210907,AP
Kuwait,KWT,-0.680162489414215,0.237950026988983,-0.158228844404221,0.287949323654175,0.331703096628189,-0.0646450370550156,MENA
Lao PDR,LAO,-1.79588603973389,0.677848219871521,-0.766010522842407,-0.80094712972641,-0.849624454975128,-1.06832528114319,AP
Lebanon,LBN,-0.558172106742859,-1.64560794830322,-1.16972374916077,-0.631152331829071,-0.904381453990936,-1.1451268196106,MENA
Liberia,LBR,-0.0758209377527237,-0.369654357433319,-1.40989303588867,-1.00202691555023,-1.0257728099823,-0.873327612876892,SSA
Libya,LBY,-1.38252735137939,-2.47724986076355,-2.009432554245,-2.32158064842224,-1.96958553791046,-1.62008166313171,MENA
Liechtenstein,LIE,1.26384675502777,1.69811153411865,1.82406771183014,1.62449502944946,1.76323807239532,1.99770760536194,WE/EU
Sri Lanka,LKA,-0.0518834330141544,-0.0465374514460564,-0.0702100992202759,-0.179070502519608,-0.0452498681843281,-0.312429964542389,AP
Lesotho,LSO,0.00232446636073291,-0.334338009357452,-0.912311553955078,-0.565879583358765,-0.456643432378769,-0.0859291926026344,SSA
Lithuania,LTU,1.00734102725983,0.866941750049591,1.05881035327911,1.08813309669495,0.993899405002594,0.808224499225616,WE/EU
Luxembourg,LUX,1.50264286994934,1.23305058479309,1.84221649169922,1.84221351146698,1.79446256160736,2.05772376060486,WE/EU
Latvia,LVA,0.872049391269684,0.460029661655426,0.882272064685822,1.18787288665771,0.956737220287323,0.722600698471069,WE/EU
Morocco,MAR,-0.608633160591126,-0.326687961816788,-0.0301265511661768,-0.117272183299065,-0.0884052813053131,-0.351529240608215,MENA
Moldova,MDA,-0.0474038682878017,-0.417325556278229,-0.455641329288483,0.0425393246114254,-0.410875022411346,-0.57425582408905,ECA
Madagascar,MDG,-0.275043070316315,-0.455483555793762,-1.00194799900055,-0.743363916873932,-0.882860600948334,-0.971603810787201,SSA
Maldives,MDV,-0.330381125211716,0.412038564682007,-0.114021137356758,-0.491706192493439,-0.333047240972519,-0.339296251535416,AP
Mexico,MEX,-0.0355823300778866,-0.850029349327087,-0.155060857534409,0.0767781212925911,-0.670107960700989,-0.847624719142914,AME
Mali,MLI,-0.730584383010864,-2.14744424819946,-1.15447986125946,-0.608012914657593,-0.923438847064972,-0.778714537620544,SSA
Malta,MLT,1.12149953842163,0.951036810874939,1.03946459293365,1.21925091743469,0.916260242462158,0.371234625577927,WE/EU
Myanmar,MMR,-0.944311916828156,-1.51314222812653,-0.996518075466156,-0.632295906543732,-1.17882025241852,-0.6537104845047,AP
Mongolia,MNG,0.37919470667839,0.793757975101471,-0.343761444091797,-0.0923366770148277,-0.263760983943939,-0.463969022035599,ECA
Montenegro,MNE,0.0421530194580555,-0.00262785726226866,-0.015012382529676,0.397037774324417,0.0590737946331501,-0.00309228198602796,ECA
Mozambique,MOZ,-0.60134881734848,-1.16107952594757,-0.724425792694092,-0.690480887889862,-1.02215445041657,-0.720573842525482,SSA
Mauritania,MRT,-0.840464770793915,-0.751339972019196,-0.772208273410797,-0.807327270507813,-0.58692729473114,-0.805144011974335,SSA
Mauritius,MUS,0.744466602802277,0.889368236064911,0.86607551574707,1.12599956989288,0.922538280487061,0.47386571764946,SSA
Malawi,MWI,-0.0347480401396751,-0.237184554338455,-0.794429540634155,-0.721720576286316,-0.267136693000793,-0.395084023475647,SSA
Malaysia,MYS,-0.148040995001793,0.12167564034462,1.04138851165771,0.772080779075623,0.658678650856018,0.249495893716812,AP
Namibia,NAM,0.563312888145447,0.646452784538269,0.0499710515141487,-0.108967393636704,0.298035860061646,0.320008218288422,SSA
Niger,NER,-0.516928017139435,-1.74284565448761,-0.617084980010986,-0.742997229099274,-0.547357022762299,-0.658867120742798,SSA
Nigeria,NGA,-0.585182130336762,-1.85934937000275,-1.0294748544693,-0.962666273117065,-0.812488257884979,-1.09688007831573,SSA
Nicaragua,NIC,-1.09720945358276,-0.649612426757813,-0.714019775390625,-0.659635186195374,-1.21799528598785,-1.24945819377899,AME
Netherlands,NLD,1.52604496479034,0.850354731082916,1.85335552692413,1.753378033638,1.75982475280762,2.03341555595398,WE/EU
Norway,NOR,1.72509264945984,1.24828660488129,1.93673431873322,1.69805705547333,1.98386454582214,2.09998488426208,WE/EU
Nepal,NPL,-0.0885782316327095,-0.197384133934975,-0.944426119327545,-0.696219801902771,-0.490970343351364,-0.577750742435455,AP
New Zealand,NZL,1.59688305854797,1.48600041866303,1.58940625190735,1.87704372406006,1.88336670398712,2.15045809745789,AP
Oman,OMN,-1.14592719078064,0.373773723840713,0.141849502921104,0.459077775478363,0.620430886745453,0.231182560324669,MENA
Pakistan,PAK,-0.88015615940094,-1.85335576534271,-0.545995891094208,-0.716666698455811,-0.691759705543518,-0.84031468629837,AP
Panama,PAN,0.570445597171783,0.229732424020767,0.0715803280472755,0.31911888718605,-0.207773491740227,-0.51419323682785,AME
Peru,PER,0.219030901789665,-0.286898791790009,-0.237463310360908,0.526472866535187,-0.342974901199341,-0.48950269818306,AME
Philippines,PHL,-0.103620946407318,-0.793794870376587,0.06087451800704,0.0299304332584143,-0.551821351051331,-0.481663256883621,AP
Papua New Guinea,PNG,0.0286327376961708,-0.739316761493683,-0.846731305122376,-0.681509137153626,-0.719771444797516,-0.573950171470642,AP
Poland,POL,0.617115557193756,0.574383854866028,0.376499235630035,0.885996639728546,0.539886176586151,0.650794446468353,WE/EU
Puerto Rico,PRI,0.500938475131989,0.431649655103684,-0.259539216756821,0.793276965618134,0.632548213005066,0.0164234172552824,AME
"Korea, Dem. Rep.",PRK,-2.15860462188721,-0.398041486740112,-1.46374130249023,-2.33989286422729,-1.6029999256134,-1.68000495433807,AP
Portugal,PRT,1.26027750968933,1.0263386964798,1.02343571186066,0.833124458789825,1.18343198299408,0.751096665859222,WE/EU
Paraguay,PRY,0.0662908181548119,0.0151680707931519,-0.465850591659546,-0.202351078391075,-0.415099889039993,-0.87065851688385,AME
Qatar,QAT,-1.28763473033905,0.670704424381256,0.908276736736298,0.851226449012756,1.0009286403656,0.783914566040039,MENA
Romania,ROM,0.584396362304688,0.589217483997345,-0.220548942685127,0.382609695196152,0.368868052959442,-0.0285287853330374,WE/EU
Russian Federation,RUS,-1.07674777507782,-0.731464743614197,0.0334168672561645,-0.437757104635239,-0.76028311252594,-0.910580635070801,ECA
Rwanda,RWA,-1.10448348522186,0.0325207263231277,0.342128187417984,0.156401336193085,0.107366301119328,0.554596304893494,SSA
Saudi Arabia,SAU,-1.61071276664734,-0.661095917224884,0.146086871623993,0.264395385980606,0.240632578730583,0.268976747989655,MENA
Sudan,SDN,-1.43299305438995,-1.76315557956696,-1.48648011684418,-1.60601758956909,-1.06748330593109,-1.38645577430725,SSA
Senegal,SEN,0.244614660739899,-0.0207328572869301,0.0108910966664553,-0.207833394408226,-0.275570213794708,0.0303711257874966,SSA
Singapore,SGP,-0.202115461230278,1.46507430076599,2.3352997303009,2.20560669898987,1.88038194179535,2.15198636054993,AP
Sierra Leone,SLE,-0.090912751853466,-0.243662089109421,-1.0164852142334,-0.857653498649597,-0.756442606449127,-0.36036005616188,SSA
El Salvador,SLV,0.0362370647490025,-0.0242039784789085,-0.356493681669235,-0.0192273296415806,-0.760862767696381,-0.591944813728333,AME
Somalia,SOM,-1.79678952693939,-2.51873135566711,-2.09357070922852,-2.06349611282349,-2.2997453212738,-1.67035186290741,SSA
São Tomé and Principe,STP,0.349032342433929,0.481792837381363,-0.644741058349609,-0.901486694812775,-0.685736060142517,0.163922891020775,SSA
Suriname,SUR,0.418228656053543,0.415541768074036,-0.539007902145386,-0.770076394081116,-0.107515536248684,-0.434007257223129,AME
Slovak Republic,SVK,0.882080137729645,0.639257192611694,0.544079422950745,0.784477889537811,0.678519129753113,0.444787919521332,WE/EU
Slovenia,SVN,0.935845971107483,0.706486403942108,1.16624307632446,0.922037184238434,1.06648850440979,0.807328343391418,WE/EU
Sweden,SWE,1.50424122810364,1.02289307117462,1.7191014289856,1.68247401714325,1.80638813972473,2.1281270980835,WE/EU
Eswatini,SWZ,-1.32759857177734,-0.118748262524605,-0.768503189086914,-0.557064890861511,-0.530746579170227,-0.455250918865204,SSA
Seychelles,SYC,0.445033818483353,0.716661810874939,0.511649310588837,-0.13098070025444,0.209211856126785,1.23000144958496,SSA
Syrian Arab Republic,SYR,-1.93446958065033,-2.73141813278198,-1.72934198379517,-1.86164951324463,-2.07215762138367,-1.71257019042969,MENA
Chad,TCD,-1.41971445083618,-1.26445806026459,-1.46000337600708,-1.13797104358673,-1.30516612529755,-1.41457009315491,SSA
Togo,TGO,-0.746729373931885,-0.924991369247437,-0.690932989120483,-0.59082967042923,-0.660938739776611,-0.736834585666657,SSA
Thailand,THA,-0.809891402721405,-0.624544858932495,0.300700485706329,0.183395206928253,0.12130880355835,-0.422221153974533,AP
Tajikistan,TJK,-1.78366732597351,-0.517877161502838,-0.710046410560608,-1.01740097999573,-1.21798455715179,-1.32014560699463,ECA
Turkmenistan,TKM,-2.03284525871277,-0.289081662893295,-1.15750288963318,-1.99294304847717,-1.40672302246094,-1.5421382188797,ECA
Trinidad and Tobago,TTO,0.644430875778198,0.177563518285751,0.179910823702812,-0.138957157731056,-0.125621542334557,-0.114902883768082,AME
Tunisia,TUN,0.273074477910995,-0.633951723575592,-0.203915923833847,-0.364922285079956,0.137513384222984,-0.0680283159017563,MENA
Turkey,TUR,-0.861699163913727,-1.18775999546051,-0.0440450869500637,-0.010659665800631,-0.358621627092361,-0.340780168771744,ECA
"Taiwan, China",TWN,1.10208415985107,0.766056895256043,1.58590257167816,1.3708484172821,1.27057528495789,1.15604615211487,AP
Tanzania,TZA,-0.713808476924896,-0.409507900476456,-0.772798717021942,-0.657513022422791,-0.603187084197998,-0.390099495649338,SSA
Uganda,UGA,-0.716181814670563,-0.780449151992798,-0.57694399356842,-0.431060701608658,-0.328886359930038,-1.05366063117981,SSA
Ukraine,UKR,0.0883246511220932,-1.16405940055847,-0.355652362108231,-0.295848190784454,-0.670037865638733,-0.78413462638855,ECA
Uruguay,URY,1.31499266624451,1.05067348480225,0.781888842582703,0.582089006900787,0.67865914106369,1.42294478416443,AME
United States,USA,0.868936896324158,-0.0220327284187078,1.31894195079803,1.24465918540955,1.36808633804321,1.06883764266968,AME
Uzbekistan,UZB,-1.53760707378387,-0.436574459075928,-0.507028996944428,-0.944906532764435,-1.06281709671021,-1.05058455467224,ECA
"Venezuela, RB",VEN,-1.50659096240997,-1.5178656578064,-1.78027510643005,-2.23441934585571,-2.34610462188721,-1.56031453609467,AME
Vietnam,VNM,-1.38046956062317,-0.0734304487705231,0.200307711958885,-0.147909745573998,-0.133931964635849,-0.352709531784058,AP
"Yemen, Rep.",YEM,-1.76706731319428,-2.67168235778809,-2.30766105651855,-1.79990744590759,-1.77656137943268,-1.67956674098969,MENA
Serbia,SRB,-0.117509365081787,-0.0928664207458496,0.0324048288166523,0.120263651013374,-0.184857979416847,-0.425881594419479,ECA
South Africa,ZAF,0.69723117351532,-0.236858427524567,0.299396395683289,0.203908666968346,-0.115416586399078,0.0640369355678558,SSA
"Congo, Dem. Rep.",ZAR,-1.28186726570129,-1.70818197727203,-1.69274306297302,-1.54084551334381,-1.79057037830353,-1.57239282131195,SSA
Zambia,ZMB,-0.430639922618866,-0.128189086914063,-0.767910838127136,-0.619891285896301,-0.622515082359314,-0.704854011535645,SSA
Zimbabwe,ZWE,-1.12147891521454,-1.08020758628845,-1.25060713291168,-1.42203152179718,-1.27485108375549,-1.25314009189606,SSA
